7.500000e-01,1.352000e+01,3.200000e-01
1.788500e+00,1.211000e+01,9.200000e-01
2.826900e+00,1.427000e+01,7.300000e-01
3.865400e+00,1.660000e+01,2.060000e+00
4.903800e+00,2.291000e+01,1.750000e+00
5.942300e+00,3.528000e+01,9.100000e-01
6.980800e+00,6.099000e+01,9.900000e-01
8.019200e+00,3.338000e+01,3.600000e-01
9.057700e+00,1.778000e+01,2.320000e+00
1.009620e+01,1.099000e+01,2.100000e-01
1.113460e+01,7.470000e+00,4.800000e-01
1.217310e+01,6.720000e+00,5.100000e-01
1.321150e+01,4.400000e+00,5.800000e-01
1.425000e+01,4.070000e+00,6.300000e-01
